date,"Total: Headline PCEPI, YoY",Energy,Food,Core Goods,Core Services exc. Housing,Housing
1/1/1960,1.69,0.26,-0.22,0.32,0.87,0.28
2/1/1960,1.70,0.15,-0.16,0.38,0.91,0.27
3/1/1960,1.69,0.11,-0.02,0.34,0.9,0.26
4/1/1960,1.86,0.12,0.23,0.31,0.95,0.19
5/1/1960,1.91,0.13,0.28,0.26,0.99,0.24
6/1/1960,1.66,0.18,0.18,0.14,1.01,0.18
7/1/1960,1.63,0.25,0.14,0.11,0.96,0.22
8/1/1960,1.66,0.22,0.22,0.14,0.93,0.21
9/1/1960,1.45,0.23,0.14,0.03,0.89,0.22
10/1/1960,1.32,0.09,0.24,0.03,0.87,0.17
11/1/1960,1.60,0.15,0.40,0.10,0.8,0.23
12/1/1960,1.50,0.10,0.49,0.00,0.82,0.18
1/1/1961,1.58,0.15,0.49,0.05,0.76,0.18
2/1/1961,1.57,0.16,0.52,0.01,0.73,0.19
3/1/1961,1.45,0.14,0.40,0.04,0.69,0.19
4/1/1961,1.03,-0.02,0.16,0.01,0.63,0.24
5/1/1961,0.98,0.03,0.07,0.06,0.62,0.20
6/1/1961,0.98,0.01,0.03,0.11,0.58,0.24
7/1/1961,1.02,0.01,0.08,0.14,0.57,0.22
8/1/1961,0.93,-0.02,0.04,0.13,0.54,0.22
9/1/1961,0.99,0.00,-0.01,0.22,0.56,0.20
10/1/1961,0.87,0.00,-0.11,0.21,0.54,0.20
11/1/1961,0.53,-0.05,-0.22,0.07,0.56,0.14
12/1/1961,0.54,-0.09,-0.26,0.15,0.57,0.14
1/1/1962,0.71,-0.09,-0.15,0.08,0.67,0.19
2/1/1962,0.89,-0.03,-0.07,0.10,0.68,0.20
3/1/1962,1.08,-0.07,0.01,0.18,0.73,0.23
4/1/1962,1.25,0.14,0.06,0.14,0.79,0.13
5/1/1962,1.26,0.09,0.11,0.09,0.79,0.19
6/1/1962,1.28,0.02,0.16,0.13,0.82,0.15
7/1/1962,1.00,-0.09,0.05,0.11,0.79,0.14
8/1/1962,1.06,-0.05,0.14,0.06,0.73,0.18
9/1/1962,1.44,0.08,0.41,0.13,0.66,0.18
10/1/1962,1.35,0.07,0.34,0.08,0.69,0.18
11/1/1962,1.41,0.05,0.39,0.11,0.69,0.18
12/1/1962,1.35,0.17,0.24,0.07,0.68,0.19
1/1/1963,1.40,0.10,0.31,0.14,0.67,0.19
2/1/1963,1.24,0.04,0.24,0.14,0.64,0.18
3/1/1963,1.02,0.08,0.12,0.07,0.61,0.15
4/1/1963,0.90,-0.03,0.03,0.15,0.55,0.21
5/1/1963,1.00,0.01,0.05,0.20,0.56,0.19
